"run","tick","FirmID","Demand","Profit","Quality","Price","FirmType"
1,1.0,"W 3",37,1716.9812267425737,98.00767045118846,47.51874462254547,"W"
1,1.0,"P 5",38,3627.3395472538054,98.86921162635554,96.59045870928094,"P"
1,1.0,"O 10",33,2693.778061509144,24.866221388452686,82.01727932482027,"O"
1,1.0,"O 8",40,2271.1486528512264,14.150784221244976,57.05290552426595,"O"
1,1.0,"B 7",49,38.53993110408569,13.700814362149686,1.0231606122379024,"B"
1,1.0,"P 4",45,3173.3575645131145,77.67081682058051,71.40887058723636,"P"
1,1.0,"B 9",38,31.01401558621691,5.349997303681448,1.0,"B"
1,1.0,"O 2",29,2050.8818246074843,32.0014972682111,71.21016751718707,"O"
1,1.0,"B 6",43,78.45863734675386,29.955178309464827,2.237017287343107,"B"
1,1.0,"P 1",43,3905.289842529951,71.8734900514828,91.65098436339758,"P"
1,2.0,"W 3",23,1065.2006085834573,99.04796308878132,47.51874462254547,"W"
1,2.0,"P 5",25,2359.535341660865,98.86921162635554,95.59120911393236,"P"
1,2.0,"O 10",26,2095.9579758966465,24.866221388452686,81.03882679266844,"O"
1,2.0,"O 8",16,905.4375446652593,13.13555807551163,57.05290552426595,"O"
1,2.0,"B 7",48,38.10981501906401,12.750738562993995,1.0231606122379024,"B"
1,2.0,"P 4",28,2001.1432396002303,77.67081682058051,72.42788616618763,"P"
1,2.0,"B 9",23,39.58760645840746,5.349997303681448,1.9900474468103617,"B"
1,2.0,"O 2",20,1431.46871386633,32.0014972682111,72.14008062515659,"O"
1,2.0,"B 6",42,32.54305429656716,29.955178309464827,1.1899192505350533,"B"
1,2.0,"P 1",17,1540.8703232732066,72.93839135614876,91.65098436339758,"P"
1,3.0,"W 3",24,1086.6090347245386,99.04796308878132,46.472084670438115,"W"
1,3.0,"P 5",17,1617.5940514043955,98.86921162635554,96.466435333043,"P"
1,3.0,"O 10",20,1630.7256963494117,24.866221388452686,82.01426218894188,"O"
1,3.0,"O 8",22,1224.341122493231,13.13555807551163,56.02446362276171,"O"
1,3.0,"B 7",54,44.04556705621079,11.71030767873658,1.0231606122379024,"B"
1,3.0,"P 4",13,937.9993424543226,77.67081682058051,73.32202253725067,"P"
1,3.0,"B 9",19,51.44472771209675,5.349997303681448,3.021800665167387,"B"
1,3.0,"O 2",20,1412.0545141582265,32.0014972682111,71.1693706397514,"O"
1,3.0,"B 6",59,48.30427214745019,28.895905590149347,1.1899192505350533,"B"
1,3.0,"P 1",24,2177.5942862149404,71.80189221914267,91.65098436339758,"P"
